Unnamed: 0,UNNAMED: 0,ASSET_NAME,ASSET_ID,ASSET_TYPE,OPERATING_STATUS,POOL_PARTICIPANT_NAME,POOL_PARTICIPANT_ID,NET_TO_GRID_ASSET_FLAG,ASSET_INCL_STORAGE_FLAG,REGION,TYPE,POOL_ID
2249,2249,PGAE IMPORT FROM BCH #9,PGI8,SOURCE,Retired,PG & E Energy Trading ,PGET,,,,,
2250,2250,PGAE IMPORT FROM BCH #10,PGI9,SOURCE,Retired,PG & E Energy Trading ,PGET,,,,,
2251,2251,PGAE IMPORT FROM SPC #1,PGIA,SOURCE,Retired,PG & E Energy Trading ,PGET,,,,,
2252,2252,PGAE IMPORT FROM SPC #2,PGIB,SOURCE,Retired,PG & E Energy Trading ,PGET,,,,,
2253,2253,PGAE IMPORT FROM SPC #3,PGIC,SOURCE,Retired,PG & E Energy Trading ,PGET,,,,,
2254,2254,PGAE IMPORT FROM SPC #4,PGID,SOURCE,Retired,PG & E Energy Trading ,PGET,,,,,
2255,2255,PGAE IMPORT FROM SPC #5,PGIE,SOURCE,Retired,PG & E Energy Trading ,PGET,,,,,
2256,2256,PGAE IMPORT FROM SPC #6,PGIF,SOURCE,Retired,PG & E Energy Trading ,PGET,,,,,
2257,2257,PGAE IMPORT FROM SPC #7,PGIG,SOURCE,Retired,PG & E Energy Trading ,PGET,,,,,
2258,2258,PGAE IMPORT FROM SPC #8,PGIH,SOURCE,Retired,PG & E Energy Trading ,PGET,,,,,
2259,2259,PGAE IMPORT FROM SPC #9,PGII,SOURCE,Retired,PG & E Energy Trading ,PGET,,,,,
2260,2260,PGAE IMPORT FROM SPC #10,PGIJ,SOURCE,Retired,PG & E Energy Trading ,PGET,,,,,
2261,2261,PGSK SASK IMPORT UNIT,PGSK,SOURCE,Retired,PG & E Energy Trading,PGET,,,,,
2274,2274,PPBC POWER POOL BC IMPORT,PPBC,SOURCE,Active,AESO - Market,PPOA,,,,,
2279,2279,POOL EMERG IMPORT ON BCH,PPI1,SOURCE,Retired,Power Pool of Alberta,PPOA,,,,,
2280,2280,POOL EMERG IMPORT ON BCH,PPI2,SOURCE,Retired,Power Pool of Alberta,PPOA,,,,,
